fclass,year,quarter,quarter_num,NDVI,BSI,ndvi_qoq_change,bsi_qoq_change
tertiary,2021,Q3,3,0.21437114223315154,0.05884817455861186,-0.0009457670155267606,-0.05139835897483381
tertiary,2021,Q4,4,0.25792777958505947,0.10622474107271285,0.04355663735190793,0.047376566514100986
tertiary,2022,Q1,1,0.20138642117677513,0.1572272306774133,-0.05654135840828434,0.05100248960470044
tertiary,2022,Q2,2,0.231841580496696,0.1040927482734741,0.030455159319920877,-0.053134482403939184
tertiary,2022,Q3,3,0.3567546016304175,0.018107815602313577,0.12491302113372149,-0.08598493267116053
tertiary,2022,Q4,4,0.26672297825558955,0.11088476762920688,-0.09003162337482795,0.0927769520268933
tertiary,2023,Q1,1,0.21247551345088342,0.13584961191938333,-0.05424746480470613,0.024964844290176452
tertiary,2023,Q2,2,0.24942000235031198,0.08383074643990142,0.03694448889942856,-0.05201886547948191
tertiary,2023,Q3,3,0.3530289436006883,0.04412763064258983,0.10360894125037634,-0.03970311579731159
tertiary,2023,Q4,4,0.26129005541370887,0.11135721048324887,-0.09173888818697945,0.06722957984065904
trunk,2017,Q1,1,0.19301906800440566,0.19529441145661205,,
trunk,2017,Q4,4,0.2207324634906382,0.153041409633661,0.027713395486232528,-0.04225300182295105
trunk,2018,Q1,1,0.188484576951498,0.20183740982971085,-0.03224788653914018,0.04879600019604985
trunk,2018,Q2,2,0.31348927424768486,0.13128474716821634,0.12500469729618685,-0.07055266266149451
trunk,2018,Q4,4,0.19451887426270809,0.10255989225294547,-0.11897039998497677,-0.028724854915270867
trunk,2019,Q1,1,0.16956645306996296,0.14433149963100558,-0.024952421192745128,0.04177160737806011
trunk,2019,Q2,2,0.20123492614132424,0.10483964534701187,0.03166847307136128,-0.03949185428399371
trunk,2019,Q3,3,0.1589972370611742,0.012051440508646294,-0.04223768908015005,-0.09278820483836558
trunk,2019,Q4,4,0.21925648063924802,0.10791457978465442,0.06025924357807383,0.09586313927600813
trunk,2020,Q1,1,0.16769670181743385,0.1346315270280874,-0.05155977882181417,0.026716947243432973
trunk,2020,Q2,2,0.19387172263515312,0.10246627849182861,0.026175020817719274,-0.03216524853625878
trunk,2020,Q3,3,0.2045260640059716,0.07233527828766266,0.010654341370818471,-0.030131000204165953
trunk,2020,Q4,4,0.19490540995114686,0.09637238989531532,-0.009620654054824734,0.024037111607652664
trunk,2021,Q1,1,0.15774098444230053,0.11180537749201754,-0.03716442550884633,0.01543298759670221
trunk,2021,Q2,2,0.17667078810575815,0.1152958895033753,0.018929803663457617,0.003490512011357763
trunk,2021,Q3,3,0.19088838664299407,0.05270934466723269,0.01421759853723592,-0.06258654483614261
trunk,2021,Q4,4,0.211612827549041,0.10879367385703326,0.020724440906046943,0.056084329189800566
trunk,2022,Q1,1,0.16785417042581768,0.15366071656833605,-0.04375865712322333,0.04486704271130279
trunk,2022,Q2,2,0.22015920456040702,0.08904097722185209,0.05230503413458934,-0.06461973934648396
